,betweenness_centrality,vertex
0,5.611184545e-05,1145
1,2.394222435e-05,1161
2,3.236081038e-05,1298
3,5.94362388e-05,1359
4,4.415680811e-05,1381
5,4.797901219e-05,1405
6,4.344594778e-05,1445
7,4.837909931e-05,1461
8,4.265439623e-05,1483
9,5.234304866e-05,1543
10,8.431803975e-05,1551
11,7.516059705e-05,1554
12,7.442037283e-05,1557
13,7.546974425e-05,1560
14,3.917643077e-05,1573
15,6.460173144e-05,1587
16,5.70966234e-05,1596
17,5.886568401e-05,1622
18,0.000106857,1636
19,7.240678164e-05,1668
20,6.476382022e-05,1687
21,6.425638616e-05,1748
22,8.267452971e-05,1762
23,3.772276652e-05,1791
24,5.022775506e-05,1817
25,6.073652692e-05,1849
26,6.72507671e-05,1884
27,3.332672073e-05,1899
28,3.443199734e-05,1917
29,5.557753725e-05,1933
30,3.461171126e-05,1945
31,3.569374041e-05,1948
32,6.904058665e-05,37701
33,6.647095119e-05,37710
34,3.363176434e-05,37717
35,3.784381218e-05,37724
36,2.313643569e-05,37740
37,2.895955789e-05,37762
38,9.52079445e-06,37766
39,0.000115866,37774
40,7.620893381e-05,37776
41,4.936609206e-05,37791
42,0.000129518,37793
43,7.339886272e-05,37798
44,0.000162361,37811
45,2.487253797e-05,37819
46,4.594057369e-05,37820
47,2.735865944e-05,37849
48,0.000147469,37862
49,8.162662915e-05,37863
50,4.862635956e-05,37866
51,1.428604828e-05,37869
52,0.000101145,37870
53,0.000101563,37871
54,4.299272191e-05,37874
55,9.095842568e-05,37885
56,1.686411544e-05,37906
57,0.000101316,37909
58,4.45307244e-05,37912
59,2.047742229e-05,37918
60,4.395023208e-05,37922
61,7.784193901e-05,37925
62,9.53174458e-05,37927
63,9.571341928e-05,37928
64,5.639886333e-05,18946
65,2.173742458e-05,18947
66,4.659512527e-05,18953
67,1.835661946e-05,18954
68,3.188431267e-05,18959
69,2.62014913e-05,18973
70,7.55006198e-06,18975
71,1.859639486e-05,18983
72,3.692083899e-06,18994
73,2.190055543e-05,19000
74,5.57332232e-05,19007
75,3.213264941e-05,19010
76,1.52255912e-05,19011
77,1.373886239e-05,19023
78,1.982204018e-05,19027
79,2.563835386e-05,19036
80,8.689532661e-06,19038
81,0.000111881,19044
82,3.306684657e-05,19048
83,3.713577227e-05,19066
84,6.77704103e-05,19083
85,2.047452326e-05,19098
86,8.505239833e-06,19105
87,2.966990061e-05,19106
88,1.951333477e-05,19107
89,3.089714733e-05,19110
90,1.859981687e-05,19120
91,4.720004063e-06,19122
92,2.197240985e-05,19137
93,1.08284474e-05,19138
94,4.632732315e-05,19141
95,1.1891821e-05,19170
96,2.286210051e-06,51866
97,0.0,51868
98,2.483159323e-06,51877
99,1.589600806e-06,51880
100,9.170957274e-06,51883
101,2.457072652e-06,51884
102,5.548736979e-06,51886
103,3.166301848e-05,51889
104,1.524838387e-05,51890
105,4.387619641e-06,51893
106,2.592848451e-06,51897
107,1.239147589e-06,51898
108,5.020901842e-06,51911
109,1.049305634e-05,51912
110,7.233373441e-06,51913
111,0.0,51917
112,0.0,51918
113,8.410242061e-06,51922
114,2.959616998e-05,51926
115,3.003127697e-06,51930
116,1.59169962e-06,51931
117,1.173248587e-05,51932
118,1.108942886e-05,51934
119,1.290514847e-05,51936
120,1.148644848e-05,51941
121,4.120093894e-05,51942
122,3.160262437e-06,51948
123,5.733937079e-07,51949
124,1.673871087e-06,51950
125,4.980013626e-06,51951
126,8.305003216e-06,51952
127,1.007191984e-05,51953
128,0.000246611,1236
129,0.00020489,1248
130,0.000127115,1320
131,0.000148352,1335
132,0.000125105,1390
133,0.000170354,1397
134,0.000176758,1398
135,0.000171192,1399
136,0.000132637,1408
137,0.00011623,1417
138,0.000160222,1424
139,0.000156374,1442
140,0.000216828,1479
141,0.000194976,1491
142,0.000238526,1523
143,0.000195002,1547
144,0.000194385,1571
145,0.000180865,1576
146,0.000213257,1625
147,0.000180198,1630
148,0.000230219,1662
149,0.000172146,1667
150,0.000168083,1704
151,0.000159089,1736
152,0.000157727,1775
153,0.000149174,1835
154,0.000177871,1850
155,0.000245082,1866
156,0.000225097,1872
157,0.000131383,1894
158,0.000168002,1908
159,0.000152929,1921
160,2.143321218e-05,51670
161,2.851292348e-05,51672
162,5.518510575e-06,51673
163,5.180738414e-06,51675
164,6.027168577e-06,51676
165,1.807887128e-05,51677
166,1.68488727e-05,51680
167,9.128942023e-06,51683
168,8.545740675e-06,51687
169,1.584185149e-05,51691
170,1.98591298e-06,51692
171,1.401474912e-05,51695
172,0.0,51697
173,6.846627806e-06,51702
174,1.620074927e-05,51703
175,1.304633052e-06,51704
176,3.876237123e-06,51713
177,3.04283721e-06,51714
178,2.426171751e-06,51716
179,2.272173803e-05,51719
180,0.0,51722
181,9.03769258e-06,51724
182,1.850449282e-05,51725
183,2.995774186e-06,51733
184,2.26533371e-05,51735
185,4.884888847e-05,51739
186,1.49965349e-05,51740
187,1.270592269e-05,51746
188,2.466868946e-06,51747
189,4.141677514e-06,51753
190,5.178127983e-06,51757
191,5.016831648e-06,51760
192,1.696055002e-05,19053
193,1.96455274e-06,19055
194,1.774122004e-05,19077
195,2.552018052e-05,19080
196,1.665822359e-05,19082
197,3.120860921e-06,19090
198,2.388860931e-05,19100
199,4.6178009e-05,19101
200,3.572050506e-05,19124
201,3.898345288e-05,19128
202,1.030812637e-05,19130
203,1.3166462e-05,19135
204,5.333162754e-05,19140
205,4.040722343e-06,19147
206,3.168978799e-05,19148
207,2.738750765e-05,19150
208,3.049191812e-05,19154
209,2.995649422e-05,19155
210,1.965879686e-05,19161
211,6.854724132e-05,19178
212,2.213049008e-05,19182
213,1.606409511e-05,19188
214,1.867455319e-05,19196
215,5.332444189e-05,19229
216,8.766985247e-05,19234
217,2.62857335e-06,19248
218,8.682213296e-06,19259
219,7.141159433e-05,19283
220,3.03325082e-05,19288
221,1.819583665e-05,19302
222,2.218278851e-05,19312
223,7.091491973e-05,19314
224,3.035847691e-05,52706
225,1.888095197e-05,52827
226,2.688174604e-05,53183
227,4.423103458e-05,53268
228,6.487426102e-05,53474
229,6.525354546e-05,53521
230,0.000117996,53630
231,0.000140657,53720
232,8.175526207e-06,53944
233,7.638766574e-05,53953
234,2.619731468e-05,54009
235,7.301213025e-05,54096
236,6.449895049e-05,54354
237,8.087974656e-05,54356
238,9.816830622e-05,54742
239,5.338043094e-05,54888
240,0.000178145,54962
241,4.954057227e-05,55485
242,2.703666647e-05,55582
243,4.402561346e-05,55593
244,1.198262654e-05,55609
245,0.000104023,55639
246,3.550871091e-05,56072
247,4.831276291e-05,56966
248,4.502504252e-06,69
249,1.915066246e-05,292
250,1.371163432e-05,360
251,1.059952015e-05,374
252,5.160499786e-06,507
253,9.560547349e-06,525
254,4.066803396e-05,614
255,8.08986037e-06,655
256,0.000103064,45567
257,8.210997378e-05,45571
258,1.930963083e-05,45587
259,4.350480037e-05,45590
260,9.537408684e-05,45617
261,1.586145243e-05,45629
262,5.486175479e-05,45632
263,6.646438222e-05,45648
264,0.000166592,45661
265,4.963034539e-05,45672
266,1.62740387e-05,45678
267,4.960692448e-05,45716
268,8.547531785e-05,45719
269,0.000132888,45721
270,1.582936391e-05,45732
271,4.196065795e-05,45744
272,1.873099228e-05,45747
273,2.32239892e-05,45748
274,5.473651774e-06,45754
275,5.566362461e-05,45776
276,8.446804822e-06,45777
277,2.445493518e-05,45780
278,8.461847015e-06,45794
279,2.440524108e-05,45797
280,5.897727962e-05,45803
281,1.441820073e-05,45825
282,7.780914618e-05,45826
283,4.950723217e-05,45829
284,0.000112062,45844
285,2.211498689e-05,45864
286,7.347703472e-05,45877
287,2.50330428e-05,45879
288,4.119488378e-06,49463
289,9.050376435e-07,49465
290,2.070922571e-06,49471
291,2.787240629e-06,49477
292,6.176857189e-06,49480
293,1.894534925e-06,49483
294,2.246835321e-05,49484
295,1.183650641e-05,49487
296,2.872576333e-05,49488
297,0.0,49489
298,6.627867836e-05,49492
299,3.332851814e-05,49493
300,7.995322683e-06,49494
301,2.102609092e-06,49495
302,9.392477614e-07,49498
303,1.020092367e-05,49499
304,5.654145306e-06,49512
305,4.265977581e-07,49514
306,4.295561767e-06,49518
307,0.0,49520
308,3.21559327e-06,49522
309,4.449551913e-05,49525
310,9.686761862e-06,49528
311,0.0,49529
312,1.952127114e-06,49530
313,1.71546913e-06,49531
314,3.487489501e-06,49532
315,1.532328858e-05,49533
316,0.0,49538
317,0.0,49541
318,5.012144903e-06,49545
319,0.0,49548
320,4.538845496e-05,20327
321,5.42569486e-05,20343
322,4.871186983e-06,20344
323,2.602538611e-05,20352
324,6.866453303e-05,20353
325,7.262438489e-05,20357
326,1.481640648e-05,20363
327,1.895068493e-05,20372
328,2.146199144e-05,20375
329,1.390226471e-05,20387
330,2.117299539e-05,20391
331,3.241790885e-05,20404
332,3.110085391e-05,20408
333,3.64845535e-05,20410
334,5.532421299e-05,20414
335,5.389717636e-05,20429
336,1.695611868e-05,20432
337,2.008423628e-05,20448
338,1.938926721e-05,20461
339,2.31846295e-06,20469
340,3.996193252e-05,20490
341,2.074991611e-05,20509
342,1.012659273e-05,20519
343,1.597670407e-06,20530
344,1.084102296e-05,20535
345,2.376825018e-05,20539
346,2.219247528e-05,20542
347,8.040352423e-06,20570
348,6.746207421e-06,20573
349,1.372738666e-05,20582
350,1.399506261e-05,20600
351,1.79444174e-05,20603
352,2.270543921e-05,37516
353,6.465664108e-05,37523
354,2.533214514e-05,37527
355,3.553982761e-05,37531
356,1.947737962e-05,37538
357,0.000107204,37541
358,2.710782153e-05,37545
359,2.875714639e-05,37549
360,0.000113513,37561
361,4.624304564e-05,37568
362,5.292386109e-05,37576
363,4.799552288e-05,37578
364,1.542512743e-05,37581
365,3.393494269e-05,37593
366,3.793530536e-05,37595
367,0.000250125,37600
368,6.804784555e-05,37601
369,2.978274222e-05,37622
370,5.49287982e-05,37634
371,6.964852578e-06,37639
372,2.166516958e-05,37642
373,2.332563459e-05,37659
374,4.346623578e-05,37662
375,8.537367364e-05,37663
376,4.230286238e-05,37665
377,0.00022122,37672
378,9.624864017e-05,37684
379,1.760936003e-05,37686
380,3.344294499e-05,37692
381,1.493891867e-05,37698
382,2.499084426e-05,37700
383,6.93814929e-05,37713
384,4.535219756e-05,38646
385,4.168904883e-05,38647
386,4.187594638e-05,38658
387,4.455332834e-05,38663
388,2.552180961e-05,38671
389,1.637936305e-05,38675
390,1.095393071e-05,38679
391,1.272910928e-05,38683
392,2.153114403e-05,38684
393,4.639045269e-05,38687
394,1.273728203e-05,38692
395,1.662901497e-05,38694
396,2.432170358e-05,38698
397,1.138666496e-05,38706
398,3.350629306e-05,38710
399,3.760460707e-06,38715
400,1.891158185e-05,38735
401,1.647493079e-05,38738
402,1.192794928e-05,38748
403,3.158675774e-05,38753
404,2.47640951e-05,38755
405,1.507606438e-05,38762
406,8.764409666e-06,38768
407,9.603359987e-06,38769
408,1.794576548e-05,38772
409,6.195646502e-05,38787
410,5.345207079e-05,38805
411,1.978297113e-05,38806
412,1.829102969e-05,38807
